style_simple,full_name
Wild/Sour,Russian River Brewing Company Defenestration
Brown Ale,Dogfish Head Brewery Indian Brown Ale
Brown Ale,Dogfish Head Brewery Palo Santo Marron
Brown Ale,Rogue Ales Hazelnut Brown Nectar
Brown Ale,Big Sky Brewing Company Moose Drool Brown Ale
Brown Ale,Smuttynose Brewing Company Smuttynose Old Brown Dog Ale
Brown Ale,Surly Brewing Company Coffee Bender
Brown Ale,Lagunitas Brewing Company Wilco Tango Foxtrot
Brown Ale,Brooklyn Brewery Brooklyn Brown Ale
Brown Ale,Avery Brewing Company Ellie's Brown Ale
Brown Ale,Surly Brewing Company Bender
Brown Ale,Founders Brewing Company Founders Sumatra Mountain Brown
Brown Ale,Kona Brewing Co. Koko Brown
Brown Ale,Abita Brewing Co. Pecan Harvest Ale
Brown Ale,Tommyknocker Brewery Maple Nut Brown Ale
Brown Ale,Tyranena Brewing Company Rocky's Revenge Bourbon Brown
Brown Ale,Anchor Brewing Company Brekle's Brown
Brown Ale,Short's Brewing Company Short's Bellaire Brown Ale
Brown Ale,Hill Farmstead Brewery George
Brown Ale,The Duck-Rabbit Craft Brewery Duck-Rabbit Brown Ale
Brown Ale,Yazoo Brewing Company Dos Perros
Brown Ale,Tommyknocker Brewery Imperial Nut Brown Ale
Brown Ale,Bear Republic Brewing Co. Pete's Brown (Tribute Ale)
Brown Ale,Short's Brewing Company Good Humans
Brown Ale,Lonerider Brewing Sweet Josie Brown Ale
Brown Ale,Firestone Walker Brewing Co. Bravo Brown
Brown Ale,Boulder Beer / Wilderness Pub Flashback Ale
Brown Ale,Ale Asylum Mad Town Nut Brown
Brown Ale,Half Acre Beer Company Over Ale
Brown Ale,Abbaye de Leffe S.A. Leffe Brune / Brown
Brown Ale,Unibroue Noire De Chambly / Chambly Noire
Brown Ale,River Horse Brewing Co. River Horse Belgian Freeze Belgian Style Winter Ale
Brown Ale,Ithaca Beer Company Cold Front
Brown Ale,Brouwerij St. Bernardus NV Grottenbier
